Firmware Version,Version 2.3 (13),System S/N,200-10008,Associated XDR,12398-1004,,Gain Pot Settings:,A:,7,B:,6,C:,5,D:,5,,,,,,,,,,,,,,,,,,
Date,Time,Log Type,Unit State,Electrical Energy (J),Time Setting (s),Electrical Power (W),Sonication Mode,Error/Reason,Chan A FWD,Chan A REV,Chan B FWD,Chan B REV,Chan C FWD,Chan C REV,Chan D FWD,Chan D REV,LCD Working?,Panic SW Open?,Unit Temperature (C),Cal Factor (A),Cal Factor (B),Cal Factor (C),Cal Factor (D),Delivered Acoustic Energy (J),,Base Ticks (A),Adj Ticks (A),Base Ticks (B),Adj Ticks (B),Base Ticks (C),Adj Ticks (C),Base Ticks (D),Adj Ticks (D)
8/20/2021,14:21:47,Status,ARMED,533,20,26.65,Incoherent,,,,,,,,,,,,27,56.2,56.2,56.2,56.2,,,,,,,,,,
8/20/2021,14:21:51,Sonication,ACTIVE,533,20,26.65,Incoherent,,0.13,0.08,0.14,0.11,0.15,0.11,0.23,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,0,,1421,0,1352,0,1299,0,1343,0
8/20/2021,14:21:51,Sonication,ACTIVE,533,20,26.65,Incoherent,,5.04,0.08,5.69,0.11,5.6,0.11,6.17,0.12,TRUE,TRUE,27,56.2,56.2,56.2,56.2,1.26,,1421,14,1352,1,1299,32,1343,1
8/20/2021,14:21:51,Sonication,ACTIVE,533,20,26.65,Incoherent,,5.6,0.08,5.79,0.1,6.3,0.1,6.45,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,2.62,,1421,28,1352,2,1299,33,1343,1
8/20/2021,14:21:52,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.1,0.08,5.77,0.09,6.14,0.09,6.47,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,3.99,,1421,29,1352,3,1299,34,1343,1
8/20/2021,14:21:52,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.24,0.08,5.78,0.1,6.08,0.09,6.56,0.1,TRUE,TRUE,27,56.2,56.2,56.2,56.2,5.37,,1421,30,1352,4,1299,35,1343,1
8/20/2021,14:21:52,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.31,0.09,5.82,0.11,6.01,0.1,6.56,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,6.76,,1421,31,1352,5,1299,36,1343,1
8/20/2021,14:21:52,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.22,0.09,5.89,0.12,5.83,0.1,6.58,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,8.14,,1421,32,1352,6,1299,37,1343,1
8/20/2021,14:21:52,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.37,0.08,5.97,0.11,5.88,0.11,6.73,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,9.54,,1421,33,1352,7,1299,38,1343,1
8/20/2021,14:21:52,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.39,0.08,5.97,0.11,6.04,0.1,6.76,0.12,TRUE,TRUE,27,56.2,56.2,56.2,56.2,10.95,,1421,34,1352,8,1299,39,1343,1
8/20/2021,14:21:52,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.61,0.08,5.9,0.1,5.99,0.1,6.69,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,12.36,,1421,34,1352,9,1299,40,1343,1
8/20/2021,14:21:52,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.71,0.08,5.86,0.1,5.95,0.1,6.74,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,13.78,,1421,34,1352,10,1299,41,1343,1
8/20/2021,14:21:52,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.69,0.08,5.88,0.1,6.02,0.09,6.68,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,15.2,,1421,34,1352,11,1299,42,1343,1
8/20/2021,14:21:52,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.57,0.08,5.93,0.1,5.88,0.09,6.51,0.1,TRUE,TRUE,27,56.2,56.2,56.2,56.2,16.59,,1421,34,1352,12,1299,43,1343,1
8/20/2021,14:21:53,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.47,0.09,6.03,0.11,5.94,0.1,6.59,0.1,TRUE,TRUE,27,56.2,56.2,56.2,56.2,18,,1421,34,1352,13,1299,44,1343,1
